開放漢語詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［漢語拼音］
搶劫團夥	抢劫团伙	qiang3 jie2 tuan2 huo3
搶救	抢救	qiang3 jiu4
搶掠	抢掠	qiang3 lue4
抢滩	抢滩	qiang3 tan1
搶先	抢先	qiang3 xian1
搶走	抢走	qiang3 zou3
戧不住	戗不住	qiang4 bu5 zhu4
熗鍋	炝锅	qiang4 guo1
戧金	戗金	qiang4 jin1
戧麵	戗面	qiang4 mian4
戧麵饅頭	戗面馒头	qiang4 mian4 man2 tou5
戧住	戗住	qiang4 zhu4
鍬把	锹把	qiao1 ba3
敲定	敲定	qiao1 ding4
蹺家	跷家	qiao1 jia1
蹺課	跷课	qiao1 ke4
敲門	敲门	qiao1 men2
悄悄	悄悄	qiao1 qiao1
蹺蹺板	跷跷板	qiao1 qiao1 ban3
悄悄話	悄悄话	qiao1 qiao1 hua4
敲竹槓	敲竹杠	qiao1 zhu2 gang4
雀子	雀子	qiao1 zi5
翹楚	翘楚	qiao2 chu3
憔悴	憔悴	qiao2 cui4
橋墩	桥墩	qiao2 dun1
樵夫	樵夫	qiao2 fu1
橋桁	桥桁	qiao2 heng2
瞧見	瞧见	qiao2 jian4
僑居	侨居	qiao2 ju1
橋欄	桥栏	qiao2 lan2
橋梁	桥梁	qiao2 liang2
蕎麥	荞麦	qiao2 mai4
蕎麵	荞面	qiao2 mian4
蕎麵餄餎	荞面饸饹	qiao2 mian4 he2 le5
喬木	乔木	qiao2 mu4
翹盼	翘盼	qiao2 pan4
僑生聚會	侨生聚会	qiao2 sheng1 ju4 hui4
翹首	翘首	qiao2 shou3
喬裝	乔装	qiao2 zhuang1
巧奪天工	巧夺天工	qiao3 duo2 tian1 gong1
巧幹	巧干	qiao3 gan4
巧合	巧合	qiao3 he2
巧勁	巧劲	qiao3 jin4
雀盲眼	雀盲眼	qiao3 mang2 yan3
悄沒聲	悄没声	qiao3 mei2 sheng1
巧取豪奪	巧取豪夺	qiao3 qu3 hao2 duo2
悄然	悄然	qiao3 ran2
峭壁	峭壁	qiao4 bi4
翹辮子	翘辫子	qiao4 bian4 zi5
竅門	窍门	qiao4 men2
俏皮	俏皮	qiao4 pi2
俏皮話	俏皮话	qiao4 pi2 hua4
翹尾巴	翘尾巴	qiao4 wei3 ba5
切邊機	切边机	qie1 bian1 ji1
切變	切变	qie1 bian4
切布機	切布机	qie1 bu4 ji1
切菜	切菜	qie1 cai4
切菜機	切菜机	qie1 cai4 ji1
切槽	切槽	qie1 cao2
切草機	切草机	qie1 cao3 ji1
切成片	切成片	qie1 cheng2 pian4
切齒刀	切齿刀	qie1 chi3 dao1
切齒機	切齿机	qie1 chi3 ji1
切除	切除	qie1 chu2
切除手術	切除手术	qie1 chu2 shou3 shu4
切磋	切磋	qie1 cuo1
切磋琢磨	切磋琢磨	qie1 cuo1 zhuo2 mo2
切點	切点	qie1 dian3
切斷	切断	qie1 duan4
切斷車床	切断车床	qie1 duan4 che1 chuang2
切斷電源	切断电源	qie1 duan4 dian4 yuan2
切斷繼電器	切断继电器	qie1 duan4 ji4 dian4 qi4
切斷鋸	切断锯	qie1 duan4 ju4
切斷術	切断术	qie1 duan4 shu4
切斷水源	切断水源	qie1 duan4 shui3 yuan2
切分音	切分音	qie1 fen1 yin1
切腹	切腹	qie1 fu4
切腹自殺	切腹自杀	qie1 fu4 zi4 sha1
切糕	切糕	qie1 gao1
切割	切割	qie1 ge1
切割吹管	切割吹管	qie1 ge1 chui1 guan3
切割機	切割机	qie1 ge1 ji1
切割開	切割开	qie1 ge1 kai1
切割器	切割器	qie1 ge1 qi4
切瓜	切瓜	qie1 gua1
切管機	切管机	qie1 guan3 ji1
切花	切花	qie1 hua1
切換	切换	qie1 huan4
切開	切开	qie1 kai1
切口	切口	qie1 kou3
切口試驗	切口试验	qie1 kou3 shi4 yan4
切塊	切块	qie1 kuai4
切力	切力	qie1 li4
切力效應	切力效应	qie1 li4 xiao4 ying4
切面	切面	qie1 mian4
切麵	切面	qie1 mian4
切麵包片	切面包片	qie1 mian4 bao1 pian4
切片	切片	qie1 pian4
切片法	切片法	qie1 pian4 fa3
切片機	切片机	qie1 pian4 ji1
切片檢查	切片检查	qie1 pian4 jian3 cha2
切入	切入	qie1 ru4
切矢量	切矢量	qie1 shi3 liang4
切條	切条	qie1 tiao2
切條機	切条机	qie1 tiao2 ji1
切線	切线	qie1 xian4
切削	切削	qie1 xiao1
切削工具	切削工具	qie1 xiao1 gong1 ju4
切削機床	切削机床	qie1 xiao1 ji1 chuang2
切削液	切削液	qie1 xiao1 ye4
切屑	切屑	qie1 xie4
切牙	切牙	qie1 ya2
切紙	切纸	qie1 zhi3
切紙機	切纸机	qie1 zhi3 ji1
茄子	茄子	qie2 zi5
且慢	且慢	qie3 man4
切不	切不	qie4 bu4
挈持	挈持	qie4 chi2
切齒	切齿	qie4 chi3
切齒腐心	切齿腐心	qie4 chi3 fu3 xin1
切齒痛恨	切齿痛恨	qie4 chi3 tong4 hen4
切齒咒罵	切齿咒骂	qie4 chi3 zhou4 ma4
怯床	怯床	qie4 chuang2
挈帶	挈带	qie4 dai4
切當	切当	qie4 dang4
鍥而不捨	锲而不舍	qie4 er2 bu2 she3
切膚之痛	切肤之痛	qie4 fu1 zhi1 tong4
挈扶	挈扶	qie4 fu2
切骨	切骨	qie4 gu3
切骨之仇	切骨之仇	qie4 gu3 zhi1 chou2
切骨之寒	切骨之寒	qie4 gu3 zhi1 han2
切骨之恨	切骨之恨	qie4 gu3 zhi1 hen4
竊國大盜	窃国大盗	qie4 guo2 da4 dao4
切合	切合	qie4 he2
切合實際	切合实际	qie4 he2 shi2 ji4
挈壺	挈壶	qie4 hu2
切激	切激	qie4 ji1
切己	切己	qie4 ji3
切忌	切忌	qie4 ji4
切記	切记	qie4 ji4
挈家	挈家	qie4 jia1
切諫	切谏	qie4 jian4
切近	切近	qie4 jin4
挈眷	挈眷	qie4 juan4
怯坎兒	怯坎儿	qie4 kan3 er5
怯殼兒	怯壳儿	qie4 ke2 er5
切口	切口	qie4 kou3
怯口	怯口	qie4 kou3
挈領	挈领	qie4 ling3
挈領	挈领	qie4 ling3
切脈	切脉	qie4 mai4
切末	切末	qie4 mo4
切莫	切莫	qie4 mo4
怯懦	怯懦	qie4 nuo4
切盼	切盼	qie4 pan4
挈轡	挈辔	qie4 pei4
挈瓶	挈瓶	qie4 ping2
切迫	切迫	qie4 po4
切切	切切	qie4 qie4
切切此布	切切此布	qie4 qie4 ci3 bu4
切切此令	切切此令	qie4 qie4 ci3 ling4
切切牢記	切切牢记	qie4 qie4 lao2 ji4
怯怯喬喬	怯怯乔乔	qie4 qie4 qiao2 qiao2
切切請求	切切请求	qie4 qie4 qing3 qiu2
切切實實	切切实实	qie4 qie4 shi2 shi2
切切私語	切切私语	qie4 qie4 si1 yu3
竊竊私語	窃窃私语	qie4 qie4 si1 yu3
竊取	窃取	qie4 qu3
怯色	怯色	qie4 se4
怯上	怯上	qie4 shang4
切身	切身	qie4 shen1
切身大事	切身大事	qie4 shen1 da4 shi4
切身關係	切身关系	qie4 shen1 guan1 xi4
切身利害	切身利害	qie4 shen1 li4 hai4
切身利益	切身利益	qie4 shen1 li4 yi4
切身體會	切身体会	qie4 shen1 ti3 hui4
切身體驗	切身体验	qie4 shen1 ti3 yan4
切實	切实	qie4 shi2
切題	切题	qie4 ti2
挈提	挈提	qie4 ti2
怯條子	怯条子	qie4 tiao2 zi5
切貼	切贴	qie4 tie1
竊聽	窃听	qie4 ting1
切望	切望	qie4 wang4
挈維	挈维	qie4 wei2
切勿	切勿	qie4 wu4
切勿倒置	切勿倒置	qie4 wu4 dao4 zhi4
切勿顛倒	切勿颠倒	qie4 wu4 dian1 dao3
切勿靠近	切勿靠近	qie4 wu4 kao4 jin4
切勿受潮	切勿受潮	qie4 wu4 shou4 chao2
切勿吸煙	切勿吸烟	qie4 wu4 xi1 yan1
竊喜	窃喜	qie4 xi3
挈攜	挈携	qie4 xie2
切要	切要	qie4 yao4
愜意	惬意	qie4 yi4
切音	切音	qie4 yin1
挈引	挈引	qie4 yin3
切責	切责	qie4 ze2
切診	切诊	qie4 zhen3
怯陣	怯阵	qie4 zhen4
怯症	怯症	qie4 zheng4
切中	切中	qie4 zhong4
切中時弊	切中时弊	qie4 zhong4 shi2 bi4
切中事理	切中事理	qie4 zhong4 shi4 li3
切中要害	切中要害	qie4 zhong4 yao4 hai4
切囑	切嘱	qie4 zhu3
親愛	亲爱	qin1 ai4
親愛的	亲爱的	qin1 ai4 de5
欽差	钦差	qin1 chai1
衾綢	衾绸	qin1 chou2
欽賜	钦赐	qin1 ci4
侵奪	侵夺	qin1 duo2
侵犯	侵犯	qin1 fan4
侵害	侵害	qin1 hai4
親歷	亲历	qin1 li4
親歷其境	亲历其境	qin1 li4 qi2 jing4
侵略	侵略	qin1 lue4
親密	亲密	qin1 mi4
親暱	亲昵	qin1 ni4
欽佩	钦佩	qin1 pei4
親朋好友	亲朋好友	qin1 peng2 hao3 you3
親朋滿座	亲朋满座	qin1 peng2 man3 zuo4
親戚	亲戚	qin1 qi5
親切	亲切	qin1 qie4
侵擾	侵扰	qin1 rao3
衾衽	衾衽	qin1 ren4
侵入	侵入	qin1 ru4
衾褥	衾褥	qin1 ru4
侵蝕	侵蚀	qin1 shi2
侵吞	侵吞	qin1 tun1
親吻	亲吻	qin1 wen3
侵襲	侵袭	qin1 xi2
親信	亲信	qin1 xin4
親信小人	亲信小人	qin1 xin4 xiao3 ren2
衾衣	衾衣	qin1 yi1
衾影無愧	衾影无愧	qin1 ying3 wu2 kui4
親友	亲友	qin1 you3
侵佔	侵占	qin1 zhan1
衾枕	衾枕	qin1 zhen3
親自	亲自	qin1 zi4
親族	亲族	qin1 zu2
親嘴	亲嘴	qin1 zui3
芹菜	芹菜	qin2 cai4
勤奮	勤奋	qin2 fen4
勤快	勤快	qin2 kuai4
勤勞	勤劳	qin2 lao2
勤勞致富	勤劳致富	qin2 lao2 zhi4 fu4
擒拿	擒拿	qin2 na2
琴瑟	琴瑟	qin2 se4
琴瑟和鳴	琴瑟和鸣	qin2 se4 he2 ming2
秦始皇	秦始皇	qin2 shi3 huang2
螓首	螓首	qin2 shou3
螓首蛾眉	螓首蛾眉	qin2 shou3 e2 mei2
禽獸	禽兽	qin2 shou4
勤務兵	勤务兵	qin2 wu4 bing1
琴弦	琴弦	qin2 xian2
勤有功，戲無益	勤有功，戏无益	qin2 you3 gong1 xi4 wu2 yi4
擒賊先擒王	擒贼先擒王	qin2 zei2 xian1 qin2 wang2
擒捉	擒捉	qin2 zhuo1
寢室	寝室	qin3 shi4
青草	青草	qing1 cao3
清查	清查	qing1 cha2
清澈	清澈	qing1 che4
清晨	清晨	qing1 chen2
青出於藍	青出于蓝	qing1 chu1 yu2 lan2
青出於藍而勝於藍	青出于蓝而胜于蓝	qing1 chu1 yu2 lan2 er2 sheng4 yu2 lan2
青出於藍，而勝於藍	青出于蓝，而胜于蓝	qing1 chu1 yu2 lan2 er2 sheng4 yu2 lan2
清楚	清楚	qing1 chu5
青春	青春	qing1 chun1
青春痘	青春痘	qing1 chun1 dou4
清純	清纯	qing1 chun2
青黛	青黛	qing1 dai4
青黛點眉	青黛点眉	qing1 dai4 dian3 mei2
清點	清点	qing1 dian3
清點庫存	清点库存	qing1 dian3 ku4 cun2
清點物資	清点物资	qing1 dian3 wu4 zi1
青豆	青豆	qing1 dou4
輕而易舉	轻而易举	qing1 er2 yi4 ju3
清風勁節	清风劲节	qing1 feng1 jing4 jie2
傾覆	倾覆	qing1 fu4
清官	清官	qing1 guan1
清官難斷家務事	清官难断家务事	qing1 guan1 nan2 duan4 jia1 wu4 shi4
清貴	清贵	qing1 gui4
清寒	清寒	qing1 han2
青蒿	青蒿	qing1 hao1
傾家盪產	倾家荡产	qing1 jia1 dang4 chan3
氫鍵	氢键	qing1 jian4
清潔	清洁	qing1 jie2
青筋	青筋	qing1 jin1
輕車簡從	轻车简从	qing1 ju1 jian3 cong2
傾筐倒庋	倾筐倒庋	qing1 kuang1 dao4 gui3
傾筐倒篋	倾筐倒箧	qing1 kuang1 dao4 qie4
青睞	青睐	qing1 lai4
清理	清理	qing1 li3
清理思緒	清理思绪	qing1 li3 si1 xu4
清廉	清廉	qing1 lian2
清涼	清凉	qing1 liang2
青樓	青楼	qing1 lou2
氫氯酸	氢氯酸	qing1 lv4 suan1
輕慢	轻慢	qing1 man4
青梅竹馬	青梅竹马	qing1 mei2 zhu2 ma3
青面獠牙	青面獠牙	qing1 mian4 liao2 ya2
輕蔑	轻蔑	qing1 mie4
青年	青年	qing1 nian2
青年人	青年人	qing1 nian2 ren2
青年學者	青年学者	qing1 nian2 xue2 zhe3
傾盆大雨	倾盆大雨	qing1 pen2 da4 yu3
傾圮	倾圮	qing1 pi3
清貧	清贫	qing1 pin2
清貧自守	清贫自守	qing1 pin2 zi4 shou3
氫氣	氢气	qing1 qi4
清清楚楚	清清楚楚	qing1 qing1 chu3 chu3
卿卿我我	卿卿我我	qing1 qing1 wo3 wo3
輕取	轻取	qing1 qu3
青山隱隱	青山隐隐	qing1 shan1 yin3 yin3
輕鬆	轻松	qing1 song1
傾訴	倾诉	qing1 su4
青苔	青苔	qing1 tai2
青天霹靂	青天霹雳	qing1 tian1 pi1 li4
傾聽	倾听	qing1 ting1
蜻蜓	蜻蜓	qing1 ting2
青銅	青铜	qing1 tong2
傾吐	倾吐	qing1 tu3
傾吐衷腸	倾吐衷肠	qing1 tu3 zhong1 chang2
傾吐胸臆	倾吐胸臆	qing1 tu4 xiong1 yi4
青蛙	青蛙	qing1 wa1
青瓦臺	青瓦台	qing1 wa3 tai2
清晰	清晰	qing1 xi1
傾斜	倾斜	qing1 xie2
清新	清新	qing1 xin1
傾軋	倾轧	qing1 ya4
氫氧根	氢氧根	qing1 yang3 gen1
氫氧化物	氢氧化物	qing1 yang3 hua4 wu4
氫氧基	氢氧基	qing1 yang3 ji1
鯖魚	鲭魚	qing1 yu2
清真	清真	qing1 zhen1
清真寺	清真寺	qing1 zhen1 si4
輕重倒置	轻重倒置	qing1 zhong4 dao4 zhi4
輕舟	轻舟	qing1 zhou1
輕裝簡從	轻装简从	qing1 zhuang1 jian3 cong2
情不自禁	情不自禁	qing2 bu2 zi4 jin1
情敵	情敌	qing2 di2
情調	情调	qing2 diao4
情夫	情夫	qing2 fu1
情婦	情妇	qing2 fu4
情感	情感	qing2 gan3
氰化鉀	氰化钾	qing2 hua4 jia3
情節	情节	qing2 jie2
情景	情景	qing2 jing3
情況	情况	qing2 kuang4
情況不明	情况不明	qing2 kuang4 bu4 ming2
情郎	情郎	qing2 lang2
晴朗	晴朗	qing2 lang3
情侶	情侣	qing2 lv3
情面	情面	qing2 mian4
黥面	黥面	qing2 mian4
情趣	情趣	qing2 qu4
情趣相投	情趣相投	qing2 qu4 xiang1 tou2
情人	情人	qing2 ren2
情人眼裡出西施	情人眼里出西施	qing2 ren2 yan3 li3 chu1 xi1 shi1
情勢	情势	qing2 shi4
情絲	情丝	qing2 si1
情愫	情愫	qing2 su4
情素	情素	qing2 su4
晴天	晴天	qing2 tian1
擎天大柱	擎天大柱	qing2 tian1 da4 zhu4
晴天霹靂	晴天霹雳	qing2 tian1 pi1 li4
情投意合	情投意合	qing2 tou2 yi4 he2
情緒	情绪	qing2 xu4
情緒化	情绪化	qing2 xu4 hua4
情誼	情谊	qing2 yi4
情有獨鍾	情有独钟	qing2 you3 du2 zhong1
情欲	情欲	qing2 yu4
情願	情愿	qing2 yuan4
黥字	黥字	qing2 zi4
請假	请假	qing3 jia4
請將不如激將	请将不如激将	qing3 jiang4 bu4 ru2 ji1 jiang4
請君入甕	请君入瓮	qing3 jun1 ru4 weng4
頃刻	顷刻	qing3 ke4
請命	请命	qing3 ming4
請求	请求	qing3 qiu2
請帖	请帖	qing3 tie3
請勿	请勿	qing3 wu4
請勿倒置	请勿倒置	qing3 wu4 dao4 zhi4
罄地	罄地	qing4 di4
磬工	磬工	qing4 gong1
磬管	磬管	qing4 guan3
親家	亲家	qing4 jia5
親家公	亲家公	qing4 jia5 gong1
親家母	亲家母	qing4 jia5 mu3
罄竭	罄竭	qing4 jie2
罄盡	罄尽	qing4 jin4
罄盡家資	罄尽家资	qing4 jin4 jia1 zi1
罄淨	罄净	qing4 jing4
罄其所有	罄其所有	qing4 qi2 suo3 you3
罄然	罄然	qing4 ran2
罄然	罄然	qing4 ran2
磬人	磬人	qing4 ren2
磬色	磬色	qing4 se4
罄山採木	罄山采木	qing4 shan1 cai3 mu4
罄身	罄身	qing4 shen1
罄身人	罄身人	qing4 shen1 ren2
慶生	庆生	qing4 sheng1
慶生酒	庆生酒	qing4 sheng1 jiu3
磬師	磬师	qing4 shi1
磬石	磬石	qing4 shi2
磬石	磬石	qing4 shi2
罄宇	罄宇	qing4 yu3
罄竹難書	罄竹难书	qing4 zhu2 nan2 shu1
慶祝	庆祝	qing4 zhu4
窮兵黷武	穷兵黩武	qiong2 bing1 du2 wu3
穹頂	穹顶	qiong2 ding3
窮苦	穷苦	qiong2 ku3
窮困	穷困	qiong2 kun4
窮困潦倒	穷困潦倒	qiong2 kun4 liao2 dao3
窮年累月	穷年累月	qiong2 nian2 lei3 yue4
窮鄉僻壤	穷乡僻壤	qiong2 xiang1 pi4 rang3
瓊瑤	琼瑶	qiong2 yao2
窮追不捨	穷追不舍	qiong2 zhui1 bu4 she3
秋播	秋播	qiu1 bo1
秋毫	秋毫	qiu1 hao2
秋季	秋季	qiu1 ji4
丘陵	丘陵	qiu1 ling2
丘壟	丘垄	qiu1 long3
鞦韆	秋千	qiu1 qian1
秋天	秋天	qiu1 tian1
囚徒	囚徒	qiu1 tu2
秋汛	秋汛	qiu1 xun4
蚯蚓	蚯蚓	qiu1 yin3
求愛	求爱	qiu2 ai4
球棒	球棒	qiu2 bang4
球場	球场	qiu2 chang3
求爹爹告奶奶	求爹爹告奶奶	qiu2 die1 die5 gao4 nai3 nai5
球隊	球队	qiu2 dui4
囚犯	囚犯	qiu2 fan4
球技	球技	qiu2 ji4
遒健	遒健	qiu2 jian4
球莖	球茎	qiu2 jing1
遒勁	遒劲	qiu2 jing4
璆琳	璆琳	qiu2 lin2
虯龍	虬龙	qiu2 long2
球門	球门	qiu2 men2
球迷	球迷	qiu2 mi3
球拍	球拍	qiu2 pai1
璆磬	璆磬	qiu2 qing4
求取	求取	qiu2 qu3
璆然	璆然	qiu2 ran2
虯髯	虬髯	qiu2 ran2
求饒	求饶	qiu2 rao2
求人不如求己	求人不如求己	qiu2 ren2 bu4 ru2 qiu2 ji3
球賽	球赛	qiu2 sai4
泅水	泅水	qiu2 shui3
囚繫	囚系	qiu2 xi4
球鞋	球鞋	qiu2 xie2
求學	求学	qiu2 xue2
求爺爺告奶奶	求爷爷告奶奶	qiu2 ye2 ye5 gao4 nai3 nai5
求醫	求医	qiu2 yi1
球衣	球衣	qiu2 yi1
犰狳	犰狳	qiu2 yu2
球員	球员	qiu2 yuan2
酋長	酋长	qiu2 zhang3
求之不得	求之不得	qiu2 zhi1 bu4 de2
糗事	糗事	qiu3 shi4
祛病	祛病	qu1 bing4
蛆蟲	蛆虫	qu1 chong2
驅蟲劑	驱虫剂	qu1 chong2 ji1
祛除	祛除	qu1 chu2
驅除	驱除	qu1 chu2
驅動	驱动	qu1 dong4
祛痘	祛痘	qu1 dou4
曲棍球	曲棍球	qu1 gun4 qiu2
胠笈	胠笈	qu1 ji2
麴櫱	曲蘖	qu1 nie4
胠篋	胠箧	qu1 qie4
胠篋兒	胠箧儿	qu1 qie4 er5
區區	区区	qu1 qu1
區區小事	区区小事	qu1 qu1 xiao3 shi4
區區小事，不足掛齒	区区小事，不足挂齿	qu1 qu1 xiao3 shi4 bu4 zu2 gua4 chi3
驅散	驱散	qu1 san4
驅使	驱使	qu1 shi3
趨勢	趋势	qu1 shi4
軀體	躯体	qu1 ti3
胠橐	胠橐	qu1 tuo2
曲為比附	曲为比附	qu1 wei2 bi3 fu4
屈膝	屈膝	qu1 xi1
曲線	曲线	qu1 xian4
曲線圖	曲线图	qu1 xian4 tu2
祛疑	祛疑	qu1 yi2
胠翼	胠翼	qu1 yi4
區域	区域	qu1 yu4
區域網路	区域网路	qu1 yu4 wang3 luo4
曲折	曲折	qu1 zhe2
趨之若鶩	趋之若鹜	qu1 zhi1 ruo4 wu4
曲直	曲直	qu1 zhi2
屈指	屈指	qu1 zhi3
屈指可數	屈指可数	qu1 zhi3 ke3 shu3
驅逐	驱逐	qu1 zhu2
渠道	渠道	qu2 dao4
衢道	衢道	qu2 dao4
蠼猱	蠼猱	qu2 nao2
蠼螋	蠼螋	qu2 sou1
取保	取保	qu3 bao3
取保候審	取保候审	qu3 bao3 hou4 shen3
取保釋放	取保释放	qu3 bao3 shi4 fang4
取材	取材	qu3 cai2
取長補短	取长补短	qu3 chang2 bu3 duan3
齲齒	龋齿	qu3 chi3
取代	取代	qu3 dai4
取道	取道	qu3 dao4
取得	取得	qu3 de2
取得聯繫	取得联系	qu3 de2 lian2 xi4
取得勝利	取得胜利	qu3 de2 sheng4 li4
取得信任	取得信任	qu3 de2 xin4 ren4
取得政權	取得政权	qu3 de2 zheng4 quan2
取締	取缔	qu3 di4
曲調	曲调	qu3 diao4
曲高和寡	曲高和寡	qu3 gao1 he4 gua3
曲肱而枕	曲肱而枕	qu3 gong1 er2 zhen3
取禍	取祸	qu3 huo4
取給	取给	qu3 ji3
取經	取经	qu3 jing1
取精用弘	取精用弘	qu3 jing1 yong4 hong2
取景	取景	qu3 jing3
取決	取决	qu3 jue2
取決於	取决于	qu3 jue2 yu2
取款	取款	qu3 kuan3
取樂	取乐	qu3 le4
苣蕒菜	苣荬菜	qu3 mai5 cai4
取名	取名	qu3 ming2
曲目	曲目	qu3 mu4
取鬧	取闹	qu3 nao4
娶妻	娶妻	qu3 qi1
取巧	取巧	qu3 qiao3
娶妾	娶妾	qu3 qie4
娶親	娶亲	qu3 qin1
取捨	取舍	qu3 she3
娶媳婦兒	娶媳妇儿	qu3 xi2 fu5 er5
取消	取消	qu3 xiao1
取笑	取笑	qu3 xiao4
取信於民	取信于民	qu3 xin4 yu2 min2
取行李	取行李	qu3 xing2 li5
取悅	取悦	qu3 yue4
取之不盡	取之不尽	qu3 zhi1 bu2 jin4
取之不盡，用之不竭	取之不尽，用之不竭	qu3 zhi1 bu2 jin4 yong4 zhi1 bu2 jie2
曲子	曲子	qu3 zi5
去粗取精	去粗取精	qu4 cu1 qu3 jing1
去接電話	去接电话	qu4 jie1 dian4 hua4
趣味	趣味	qu4 wei4
全部	全部	quan2 bu4
全部切除	全部切除	quan2 bu4 qie1 chu2
全場轟動	全场轰动	quan2 chang3 hong1 dong4
全程	全程	quan2 cheng2
拳打腳踢	拳打脚踢	quan2 da3 jiao3 ti1
權當	权当	quan2 dang1
全都	全都	quan2 dou1
鬈髮	鬈发	quan2 fa4
顴骨	颧骨	quan2 gu3
權貴	权贵	quan2 gui4
全國	全国	quan2 guo2
全國人民	全国人民	quan2 guo2 ren2 min2
權衡	权衡	quan2 heng2
權衡得失	权衡得失	quan2 heng2 de2 shi1
拳腳	拳脚	quan2 jiao3
拳腳相加	拳脚相加	quan2 jiao3 xiang1 jia1
全軍覆滅	全军覆灭	quan2 jun1 fu4 mie4
全軍覆沒	全军覆没	quan2 jun1 fu4 mo4
全力	全力	quan2 li4
權利	权利	quan2 li4
權力	权力	quan2 li4
全力以赴	全力以赴	quan2 li4 yi3 fu4
全裸	全裸	quan2 luo3
全面	全面	quan2 mian4
全民	全民	quan2 min2
全盤	全盘	quan2 pan2
全球	全球	quan2 qiu2
全球性	全球性	quan2 qiu2 xing4
蜷曲	蜷曲	quan2 qu1
鬈曲	鬈曲	quan2 qu1
全神貫注	全神贯注	quan2 shen2 guan4 zhu4
詮釋	诠释	quan2 shi4
全世界	全世界	quan2 shi4 jie4
拳術	拳术	quan2 shu4
拳術高強	拳术高强	quan2 shu4 gao1 qiang2
泉水	泉水	quan2 shui3
蜷縮	蜷缩	quan2 suo1
拳頭	拳头	quan2 tou5
權威	权威	quan2 wei1
全息	全息	quan2 xi1
全校師生	全校师生	quan2 xiao4 shi1 sheng1
權宜	权宜	quan2 yi2
權宜婚姻	权宜婚姻	quan2 yi2 hun1 yin1
痊癒	痊愈	quan2 yu4
畎畝	畎亩	quan3 mu3
畎田	畎田	quan3 tian2
勸告	劝告	quan4 gao4
勸架	劝架	quan4 jia4
勸戒	劝戒	quan4 jie4
勸開	劝开	quan4 kai1
勸勉	劝勉	quan4 mian3
勸阻	劝阻	quan4 zu3
缺乏	缺乏	que1 fa2
缺憾	缺憾	que1 han4
缺貨	缺货	que1 huo4
缺少	缺少	que1 shao3
炔烴	炔烃	que1 ting1
缺陷	缺陷	que1 xian4
瘸腿	瘸腿	que2 tui3
瘸子	瘸子	que2 zi5
雀斑	雀斑	que4 ban1
確保	确保	que4 bao3
確定	确定	que4 ding4
確立	确立	que4 li4
雀屏	雀屏	que4 ping2
確認	确认	que4 ren4
確實	确实	que4 shi2
雀躍	雀跃	que4 yue4
確鑿	确凿	que4 zao2
裙襬	裙襬	qun2 bai3
群從	群从	qun2 cong2
裙帶	裙带	qun2 dai4
群島	群岛	qun2 dao3
群口鑠金	群口铄金	qun2 kou3 shuo4 jin1
群龍無首	群龙无首	qun2 long2 wu2 shou3
群起而攻之	群起而攻之	qun2 qi3 er2 gong1 zhi1
群雄	群雄	qun2 xiong2
群雄割據	群雄割据	qun2 xiong2 ge1 ju4
群雄角逐	群雄角逐	qun2 xiong2 jue2 zhu2
群眾	群众	qun2 zhong4
裙子	裙子	qun2 zi5
燃燈	燃灯	ran2 deng1
然而	然而	ran2 er2
燃放	燃放	ran2 fang4
然後	然后	ran2 hou4
燃料	燃料	ran2 liao4
燃料電池	燃料电池	ran2 liao4 dian4 chi2
燃眉之急	燃眉之急	ran2 mei2 zhi1 ji2
燃燒	燃烧	ran2 shao1
燃燒彈	燃烧弹	ran2 shao1 dan4
燃燒炸彈	燃烧炸弹	ran2 shao1 zha4 dan4
蚺蛇	蚺蛇	ran2 she2
燃油艙	燃油舱	ran2 you2 cang1
染病	染病	ran3 bing4
染料	染料	ran3 liao4
冉冉	冉冉	ran3 ran3
染色	染色	ran3 se4
嚷嚷	嚷嚷	rang1 rang5
嚷嚷出去	嚷嚷出去	rang1 rang5 chu1 qu4
穰草	穰草	rang2 cao3
瓤兒	瓤儿	rang2 er5
蘘荷	蘘荷	rang2 he2
禳解	禳解	rang2 jie3
瓤口	瓤口	rang2 kou5
瀼瀼	瀼瀼	rang2 rang2
瀼瀼	瀼瀼	rang2 rang2
穰穰	穰穰	rang2 rang2
穰穰满家	穰穰满家	rang2 rang2 man3 jia1
瓤腴	瓤腴	rang2 yu2
禳災	禳灾	rang2 zai1
禳瘴氣	禳瘴气	rang2 zhang4 qi4
瓤子	瓤子	rang2 zi5
攘臂	攘臂	rang3 bi4
攘臂瞋目	攘臂瞋目	rang3 bi4 chen1 mu4
攘臂高呼	攘臂高呼	rang3 bi4 gao1 hu1
攘敵	攘敌	rang3 di2
壤地	壤地	rang3 di4
攘奪	攘夺	rang3 duo2
壤界	壤界	rang3 jie4
攘攘	攘攘	rang3 rang3
壤土	壤土	rang3 tu3
攘外	攘外	rang3 wai4
攘袖	攘袖	rang3 xiu4
讓步	让步	rang4 bu4
讓路	让路	rang4 lu4
讓位	让位	rang4 wei4
橈動脈	桡动脉	rao2 dong4 mai4
橈骨	桡骨	rao2 gu3
饒人	饶人	rao2 ren2
