秋 : qiu1
蚯 : qiu1
求 : qiu2
球 : qiu2
区 : qu1
曲 : qu3
驱 : qu1
屈 : qu1
躯 : qu1
趋 : qu1
取 : qu3
娶 : qu3
去 : qu4
趣 : qu4
圈 : quan1
全 : quan2
权 : quan2
泉 : quan2
拳 : quan2
犬 : quan3
劝 : quan4
券 : quan4
缺 : que1
却 : que4
雀 : que4
确 : que4
鹊 : que4
裙 : qun2
群 : qun2
然 : ran2
燃 : ran2
染 : ran3
嚷 : rang3
壤 : rang3
让 : rang4
饶 : rao2
扰 : rao3
绕 : rao3
惹 : re3
热 : re4
人 : ren2
仁 : ren2
忍 : ren3
认 : ren4
任 : ren4
扔 : reng1
仍 : reng2
日 : ri4
绒 : rong2
荣 : rong2
容 : rong2
溶 : rong2
熔 : rong2
融 : rong2
柔 : rou2
肉 : rou4
如 : ru2
儒 : ru2
乳 : ru3
辱 : ru3
入 : ru4
软 : ruan3
锐 : rui4
瑞 : rui4
润 : run4
若 : ruo4
弱 : ruo4
撒 : sa1
洒 : sa3
萨 : sa4
塞 : sai4
赛 : sai4
三 : san1
伞 : san3
散 : san4
桑 : sang1
嗓 : sang3
丧 : sang1
扫 : sao3
嫂 : sao3
色 : se4
森 : sen1
僧 : seng1
杀 : sha1
沙 : sha1
纱 : sha1
刹 : cha4
砂 : sha1
傻 : sha3
啥 : sha2
晒 : shai4
山 : shan1
杉 : shan1
衫 : shan1
珊 : shan1
闪 : shan3
陕 : shan3
扇 : shan4
善 : shan4
伤 : shang1
商 : shang1
赏 : shang3
上 : shang4
尚 : shang4
梢 : shao1
烧 : shao1
稍 : shao1
少 : shao3
绍 : shao4
哨 : shao4
舌 : she2
蛇 : she2
舍 : she4
设 : she4
社 : she4
射 : she4
涉 : she4
摄 : she4
申 : shen1
伸 : shen1
身 : shen1
深 : shen1
神 : shen2
审 : shen3
婶 : shen3
肾 : shen4
甚 : shen4
渗 : shen4
慎 : shen4
升 : sheng1
生 : sheng1
声 : sheng1
牲 : sheng1
胜 : sheng4
绳 : sheng2
省 : sheng3
圣 : sheng4
盛 : sheng4
剩 : sheng4
尸 : shi1
失 : shi1
师 : shi1
诗 : shi1
施 : shi1
狮 : shi1
湿 : shi1
十 : shi2
什 : shen2
石 : shi2
时 : shi2
识 : shi1
实 : shi2
拾 : shi2
蚀 : shi2
食 : shi2
史 : shi3
使 : shi3
始 : shi3
驶 : shi3
士 : shi4
氏 : shi4
世 : shi4
市 : shi4
示 : shi4
式 : shi4
事 : shi4
侍 : shi4
势 : shi4
视 : shi4
试 : shi4
饰 : shi4
室 : shi4
是 : shi4
适 : shi4
逝 : shi4
释 : shi4
收 : shou1
手 : shou3
守 : shou3
首 : shou3
寿 : shou4
受 : shou4
兽 : shou4
售 : shou4
授 : shou4
瘦 : shou4
书 : shu1
抒 : shu1
叔 : shu1
枢 : shu1
殊 : shu1
疏 : shu1
舒 : shu1
输 : shu1
蔬 : shu1
熟 : shu2
暑 : shu3
署 : shu3
属 : shu3
鼠 : shu3
薯 : shu3
术 : shu4
束 : shu4
述 : shu4
树 : shu4
竖 : shu4
数 : shu4
刷 : shua1
耍 : shua3
衰 : shuai1
摔 : shuai1
甩 : shuai3
帅 : shuai4
双 : shuang1
霜 : shuang1
爽 : shuang3
谁 : shei2
水 : shui3
税 : shui4
睡 : shui4
顺 : shun4
瞬 : shun4
说 : shuo1
丝 : si1
司 : si1
私 : si1
思 : si1
斯 : si1
撕 : si1
死 : si3
四 : si4
寺 : si4
似 : si4
饲 : si4
松 : song1
耸 : song3
宋 : song4
送 : song4
颂 : song4
搜 : sou1
艘 : sou1
苏 : su1
俗 : su2
诉 : su4
肃 : su4
素 : su4
速 : su4
宿 : su4
塑 : su4
酸 : suan1
蒜 : suan4
算 : suan4
虽 : sui1
随 : sui2
髓 : sui3
岁 : sui4
遂 : sui4
碎 : sui4
穗 : sui4
孙 : sun1
损 : sun3
笋 : sun3
缩 : suo1
所 : suo3
索 : suo3
锁 : suo3
他 : ta1
它 : ta1
她 : ta1
塌 : ta1
塔 : ta3
踏 : ta4
胎 : tai1
台 : tai2
抬 : tai2
太 : tai4
态 : tai4
泰 : tai4
贪 : tan1
摊 : tan1
滩 : tan1
坛 : tan2
谈 : tan2
潭 : tan2
坦 : tan3
叹 : tan4
炭 : tan4
探 : tan4
碳 : tan4
汤 : tang1
唐 : tang2
堂 : tang2
塘 : tang2
糖 : tang2
躺 : tang3
趟 : tang4
涛 : tao1
掏 : tao1
逃 : tao2
桃 : tao2
陶 : tao2
淘 : tao2
萄 : tao2
讨 : tao3
套 : tao4
特 : te4
疼 : teng2
腾 : teng2
藤 : teng2
梯 : ti1
踢 : ti1
啼 : ti2
提 : ti2
题 : ti2
蹄 : ti2
体 : ti3
替 : ti4
天 : tian1
添 : tian1
田 : tian2
甜 : tian2
填 : tian2
挑 : tiao3
条 : tiao2
跳 : tiao4
贴 : tie1
铁 : tie3
厅 : ting1
听 : ting1
廷 : ting2
亭 : ting2
庭 : ting2
停 : ting2
蜓 : ting2
挺 : ting3
艇 : ting3
通 : tong1
同 : tong2
桐 : tong2
铜 : tong2
童 : tong2
统 : tong3
桶 : tong3
筒 : tong3
痛 : tong4
偷 : tou1
头 : tou2
投 : tou2
透 : tou4
突 : tu1
图 : tu2
徒 : tu2
涂 : tu2
